longitude,latitude,sentiment
-82.8294,42.6745,0.15
-117.1585,32.7155,0.6770833333333333
-80.84333333,35.22694444,0
-79.9372,32.7872,0
-73.99060249,40.76131713,0.4520833333333334
-95.38306604,29.70320032,0.033333333333333326
5.34796955,60.36879964,-0.14375
-118.25,34.05,0.009523809523809513
-122.3308,47.6046,0
-77.0367,38.8951,-0.06666666666666667
80.2751,13.0812,-0.15555555555555559
-79.42319,43.6541,0.625
-122.28333333,37.75,-0.09999999999999999
-73.99060249,40.76131713,0.8
-3.2087,55.9546,0
-2.76667,53.1167,-0.018750000000000003
3.39583,6.45306,0.6
-79.2667,43.8667,0
-1.93048239,53.60276332,0
-73.965631,40.757498,0
-0.1094,51.5141,0
174.7657,-36.8473,0.13636363636363635
-80.22875547,40.63261687,-0.2
-121.2423,38.7813,0.1
-80.19087753,25.76766204,0.4
-117.66806,33.45538,-0.125
-122.638,47.5316,0.2791666666666667
-110.92097414,32.20974234,0.5
175.283,-37.7833,0.49318181818181817
151.033,-33.9167,-0.4
-80.22875547,40.63261687,-0.2
-122.96456169,46.58619608,0
-81.32806152,48.47593351,0
-80.436956,25.096352,0.13788132440476192
-77.02107011,38.89816086,0
28.20944192,-25.75450357,0
-118.350552,33.833741,0.3666666666666667
-117.86996,33.59552,0.8
-70.2494,43.82889,0.5625
-122.1165286,37.4182576,0.75
-159.39908304,21.97304711,0.25
-87.3745,36.0715,0
-104.862,39.081,-0.1
122.36760138,11.70445614,0.11540404040404041
176.0696,-38.68682,0.675
139.730617,35.650719,0.45
-75.54232893,39.74133765,0
-82.6546097,27.7895107,0.2125
-4.309626,55.852472,-0.16666666666666666
-95.1233,29.6793,0.15
-112.074037,33.448377,0.5
-105.103,39.7063,0.24761904761904763
151.20797,-33.86751,0.4
150.91810724,-33.89214702,0.21454545454545454
7.42936372,8.96389499,0
-79.7164011,43.7742911,0.25
-122.3308,47.6046,0.5416666666666667
-71.1439,42.6599,-0.15625
7.45147705,46.93971485,0
-73.95,40.65,-0.15625
-74.1849,40.7352,0.5
-80.14464,25.96861,0
-71.45972222,41.97083333,0.045
91.70811213,27.53009785,0.20000000000000004
-80.165,25.69027778,-0.1
-84.2836,30.4391,0.19375
-73.96451066,40.70986372,-0.1
80.1659784,13.0434906,0.03749999999999999
121.31643171,14.07328359,-0.05
3.39583,6.45306,0
51.5293,25.2834,-0.004761904761904763
-84.2978,33.7714,0.06666666666666667
-87.64578105,41.93275842,0
-122.00760251,37.57614819,-0.09375
0.05173177,52.28036162,0
-76.7,39,0.5
-95.3694,29.7602,0.2
-122.38293036,47.66751099,-0.26666666666666666
-74.0064,40.7142,0
-97.106,49.853,0.1
-74.0064,40.7142,0.13636363636363635
-81.657,30.3285,0
103.856,1.29306,0.6
-82.32922,27.87174,0.546875
-118.55405413,34.37373147,0.2130681818181818
-71.43352,41.8287,0.3666666666666667
-118.2445,34.0564,-0.19642857142857145
-72.32513,41.06213,0.4
-122.419,37.7793,0
-77.9167,18.4667,0.25
115.16736031,-8.6773787,0.26666666666666666
115.16736031,-8.6773787,0.26666666666666666
